Uriah Hall
Yoshihiro Akiyama
Dongi Yang
Yui Chul Nam
Leo Kuntz
Scott Jorgensen
Vernon Ramos Ho
Valmir Lazaro
Akbarh Arreola
Anthony Perosh
Danny Martinez
Richie Vaculik
Steve Montgomery
Steve Kennedy
Piotr Hallmann
Fabio Maldonado
Edimilson Souza
Gasan Umalatov
Bruno Rodrigues
Paddy Holohan
Jon Delos Reyes
Mickael Lebout
Aisling Daly
Ericka Almeida
Cathal Pendred
Bubba Bush
Ruslan Magomedov
Shawn Jordan
Francisco Trevino
Chris Cariaso
Chico Camus
George Roop
Katsunori Kikuno
Naoyuki Kotani
Roger Zapata
Clay Collard
Ron Stallings
Nazareno Malegarie
Sam Stout
Yves Jabouin
Elias Silverio
Tom Watson
Sirwan Kakai
Roman Salazar
Anthony Christodoulou
Antonio Rodrigo Nogueira
Soa Palelei
Hugo Viana
Ramsey Nijem
Jessamyn Duke
Ivan Jorge
Pawel Pawlak
Leonardo Mafra
Vaughan Lee
Hans Stringer
Paul Redmond
Marcus Brimage
Josh Thomson
Igor Araujo
Ildemar Alcantara
Andrew Craig
Dan Miller
Darrell Montague
Mike Swick
Yosdenis Cedeno
Eddie Gordon
Joe Merritt
Lewis Gonzalez
Alan Omer
Niklas Backstrom
Antonio Dos Santos
Brian Ebersole
Justin Edwards
Ricardo Abreu
Leonardo Morales
Ryan Jimmo
Wendell Oliveira Marques
Luiz Dutra
Josh Sampo
Constantinos Philippou
Mark Munoz
Luke Barnatt
Zhang Lipeng
Royston Wee
Roldan Sangcha'an
Nolan Ticman
Hatsu Hioki
Lisa Ellis
Dylan Andrews
Vik Grujic
Alptekin Ozkilic
Quinton Jackson
David Michaud
Chris Clements
Jessica Rakoczy
Jimy Hettes
Mirko Filipovic
Seth Baczynski
Izabela Badurek
Marcin Bandel
Rocky Lee
Robert Peralta
Justin Jones
Josh Koscheck
Shayna Baszler
Cain Carrizosa
Jorge de Oliveira
Bentley Syler
Roger Narvaez
Josh Copeland
Jake Lindsey
Larissa Pacheco
Norifumi Yamamoto
Ruan Potts
Alex Torres
William Macario
Cody Gibson
Josh Shockley
Patrick Walsh
Rodrigo de Lima
Nick Diaz
Ian McCall
Richardson Moreira
Andy Enz
Phil Davis
Akira Corassani
Andy Ogle
Stanislav Nedkov
Shane Howell
Sean Soriano
Matt Van Buren
Tateki Matsuda
Louis Gaudinot
Rodrigo Damm
Mats Nilsson
Alexis Dufresne
Mike Rhodes
Tom Niinimaki
Jamie Varner
Joe Ellenberger
Garett Whiteley
Dustin Kimura
Brendan Schaub
Matt Hobar
Isaac Vallie-Flagg
Yves Edwards
Juan Manuel Puig
Chris Heatherly
Humberto Brown Morrison
Rodolfo Rubio Perez
Charlie Brenneman
Tim Gorman
Wagner Silva
Vagner Rocha
Guto Inocente
Luke Zachrich
Jumabieke Tuerxun
Fabricio Camoes
Bruno Santos
Anthony Njokuani
Tor Troeng
Ernest Chavez
Amir Sadollah
Takenori Sato
Kazuki Tokudome
Dashon Johnson
Paulo Thiago
Johnny Bedford
Francis Carmont
Cung Le
Jianping Yang
Sai Wang
Danny Mitchell
Roland Delorme
Anying Wang
Jack May
Kyle Kingsbury
Hernani Perpetuo
Steven Siler
Phil Harris
Mike King
Cody Donovan
Pat Healy
Tina Lahdemaki
Daniel Spohn
Robert Drysdale
Guilherme Vasconcelos
Colton Smith
Chris Indich
Mike Easton
Jason High
Lance Benoist
Bobby Voelker
Chris Holdsworth
Ben Wall
Anthony Lapsley
Estevan Payan
Mark Bocek
Ronny Markes
Thiago Perpetuo
Jake Shields
Renee Forte
Will Campuzano
Robert McDaniel
Melvin Guillard
Cyrille Diabate
John Hathaway
Ivan Menjivar
Nam Phan
Albert Cheng
TJ Waldburger
Rafaello Oliveira
Cristiano Marcello
Nick Catone
Ramiro Hernandez
Mike Rio
Brian Houston
Shunichi Shimizu
Will Chope
Quinn Mulhern
Dave Galera
Chris Leben
Mac Danzig
Cody McKenzie
Roger Bowling
Darren Uyenoyama
Pat Barry
Julie Kedzie
Nick Ring
Peggy Morgan
Chael Sonnen
Edwin Figueroa
Jose Maria
Alessio Sakara
Rosi Sexton
Michael Kuiper
George Sotiropoulos
Adlan Amagov
Jeremy Larsen
Dustin Pague
Thiago Silva
Matt Hamill
Joey Beltran
Rousimar Palhares
David Mitchell
Iliarde Santos
Mike Ricci
Nandor Guelmino
Marcos Vinicius
Joao Zeferino
Keith Wisniewski
Yuri Villefort
Brandon Vera
Pascal Krauss
Ryan Couture
Jared Hamman
Martin Kampmann
Brian Melancon
Papy Abedi
James Head
Ben Alloway
Mike Brown
Vinny Magalhaes
Sheila Gaff
Josh Clopton
Ednaldo Oliveira
Bristol Marunde
Aaron Riley
John Albert
Roger Gracie
Dave Herman
Sean Pierson
John Maguire
Eddie Mendez
Karlos Vemola
TJ Grant
Nah-Shon Burrell
Brian Bowles
John Cholish
Roger Hollett
Azamat Gashimov
Alan Belcher
Cheick Kongo
Leonard Garcia
Clifford Starks
Gilbert Smith
Collin Hart
Jimmy Quinlan
Bart Palaszewski
Justin Lawrence
Philip De Fries
Pablo Garza
Adam Cella
Chris Spang
Besam Yousef
Colin Fletcher
Antonio Carvalho
Issei Tamura
Reuben Duran
Wanderlei Silva
Brian Stann
Riki Fukuda
Josh Neer
Lavar Johnson
Anton Kuivanen
Matt Grice
Caros Fodor
Brock Jardine
Jon Manley
Jorge Santiago
Che Mills
Matthew Riddle
Terry Etim
Paul Sass
Josh Grispi
Motonobu Tezuka
Ulysses Gomez
Jon Fitch
Jay Hieron
Jacob Volkmann
Mike Stumpf
Vladimir Matyushenko
Mike Russow
Simeon Thoresen
Milton Vieira
Diego Nunes
Pedro Nobre
Wagner Prado
CJ Keith
Byron Bloodworth
Shane del Rosario
Jonathan Brookins
John Cofer
Jared Papazian
Manuel Rodriguez
Brendan Loughnane
Nick Penner
Henry Martinez
Marcus LeVesseur
Mark Hominick
Chad Griggs
Rich Franklin
Zhang Tiequan
Jeff Hougland
Yasuhiro Urushitani
Tom DeBlass
Stephan Bonnar
Joey Gambino
Luiz Cane
Aaron Simpson
Carlo Prater
Shane Roller
Dan Hardy
Duane Ludwig
DaMarques Johnson
Jason Young
Walel Watson
Buddy Roberts
Tommy Hayden
Ken Stone
Eiji Mitsuoka
Oli Thompson
Michihiro Omigawa
Damacio Page
Josh Ferguson
Dan Stittgen
Forrest Griffin
Tito Ortiz
John Alessio
Yoislandy Izquierdo
Anistavio Medeiros
Delson Heleno
John Teixeira
Wagner Campos
Spencer Fisher
Luis Ramos
Ricardo Funch
Carlos Eduardo Rocha
Bernardo Magalhaes
Jake Hecht
Pat Schilling
Chris Tickle
Chris Saunders
Jason Miller
Jorge Lopez
Jason MacDonald
Kamal Shalorus
Jeff Curran
Alex Soto
Nick Denis
Mike Massenzio
Miguel Torres
Eddie Yagin
Eric Wisely
Aaron Rosa
Mackens Semerzier
Steve Cantwell
Chris Cope
Jon Olav Einemo
Christian Morecraft
Jorge Rivera
Eric Schafer
Daniel Roberts
Joseph Sandoval
Junior Assuncao
Claude Patrick
Krzysztof Soszynski
Dennis Hallman
Rich Attonito
Stephen Bass
Dustin Neace
Jason Brilz
Nick Pace
Shamar Bailey
Clay Harvison
Cole Escovedo
Paul Bradley
Matt Lucas
Edward Faaloloto
Rob Broughton
Tyson Griffin
Eliot Marshall
Danny Downes
Kenny Florian
Matt Hughes
Ricardo Romero
Donny Walker
Mike Lullo
Ian Loveland
Chris Lytle
TJ O'Brien
Jason Reinhardt
Andre Winner
Javier Vazquez
Joe Stevenson
Curt Warburton
Shane Carwin
Jesse Bongfeldt
Tim Credeur
Chuck O'Neil
Ryan McGillivray
Kendall Grove
Randy Couture
Charlie Valencia
Ryan Jensen
Kyle Watson
Jon Madsen
Kris McCray
Sean McCorkle
Mario Miranda
Waylon Lowe
Ricardo Almeida
Kurt Pellegrino
Rob Kimmons
Todd Brown
Tom Blackledge
Chris Tuchscherer
Maciej Jewtuszko
Antonio Banuelos
Paul Kelly
Paul Taylor
Gabe Ruediger
Tim Hague
Mike Guymon
Willamy Freire
Amilcar Alves
Marcus Davis
Phil Baroni
Greg Soto
Antonio McKee
Joe Doerksen
Dustin Hazelett
